pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
B15	A11	0.2918	0.0916	3.18211559432933
B15	A31	0.2906	0.1484	1.95690235690236
B15	A74	0.2684	0.0918	2.92056583242655
B15	A01	0.2509	0.0762	3.28833551769332
B15	A26	0.2707	0.0898	3.0111234705228
B15	A29	0.2946	0.0894	3.29162011173184
B15	B56	0.1381	0	1381
B15	B35	0.0488	0	488
B18	A02	0.3297	0.0646	5.09582689335394
B18	A30	0.3401	0.147	2.31203263086336
B18	A03	0.3401	0.0918	3.70076169749728
B18	A11	0.3401	0.0918	3.70076169749728
B18	A31	0.3386	0.1487	2.2755376344086
B18	A74	0.3152	0.092	3.42236699239957
B18	A01	0.2961	0.0764	3.87058823529412
B18	A26	0.2259	0.09	2.50721420643729
B18	A29	0.3185	0.0896	3.55072463768116
B18	B56	0.101	0	1010
B18	B35	0.0159	0	159
B18	B15	0.0324	0	324
B39	A02	0.336	0.1007	3.33333333333333
B39	A30	0.3463	0.1894	1.82744063324538
B39	A03	0.3463	0.1302	2.65771297006907
B39	A11	0.3463	0.1302	2.65771297006907
B39	A31	0.3448	0.1917	1.79770594369135
B39	A74	0.3213	0.1305	2.46018376722818
B39	A01	0.3061	0.1054	2.90142180094787
B39	A26	0.2318	0.1276	1.81519185591229
B39	A29	0.3247	0.127	2.55468135326515
B39	B56	0.1005	0.0512	1.95906432748538
B39	B35	0.0158	0.0513	0.307392996108949
B39	B15	0.0488	0.0503	0.968253968253968
B39	B18	0.0159	0.0504	0.314851485148515
B08	A02	0.3106	0.049	6.32586558044806
B08	A30	0.2969	0.1311	2.26295731707317
B08	A03	0.2969	0.0759	3.90657894736842
B08	A11	0.2969	0.0759	3.90657894736842
B08	A31	0.2956	0.1327	2.22590361445783
B08	A74	0.2735	0.0761	3.58923884514436
B08	A01	0.2596	0.0512	5.06042884990253
B08	A26	0.1891	0.0744	2.53825503355705
B08	A29	0.2763	0.0741	3.72371967654987
B08	B56	0.0826	0	826
B08	B35	0.0158	0	158
B08	B15	0.0657	0	657
B08	B18	0.0321	0	321
B08	B39	0.032	0.0515	0.62015503875969
B14	A02	0.3354	0.1012	3.31095755182626
B14	A30	0.321	0.1903	1.6859243697479
B14	A03	0.321	0.1308	2.45225362872422
B14	A11	0.321	0.1308	2.45225362872422
B14	A31	0.3197	0.1926	1.65905552672548
B14	A74	0.2969	0.1311	2.26295731707317
B14	A01	0.2824	0.1059	2.66415094339623
B14	A26	0.21	0.1282	1.63678877630553
B14	A29	0.3	0.1276	2.34925606891151
B14	B56	0.0827	0.0514	1.60582524271845
B14	B35	0.032	0.0515	0.62015503875969
B14	B15	0.0658	0.0505	1.300395256917
B14	B18	0.0321	0.0506	0.633136094674556
B14	B39	0.0158	0	158
B14	B08	0.0158	0.0518	0.304431599229287
A32	A02	0.2431	0	2431
A32	A30	0.1786	0.049	3.63747454175153
A32	A03	0.1786	0	1786
A32	A11	0.1786	0	1786
A32	A31	0.1779	0.0495	3.5866935483871
A32	A74	0.1586	0	1586
A32	A01	0.1571	0	1571
A32	A26	0.2005	0	2005
A32	A29	0.2009	0	2009
A32	B56	0.2717	0.0775	3.50128865979381
A32	B35	0.2944	0.0776	3.78893178893179
A32	B15	0.266	0.0941	2.82377919320594
A32	B18	0.3122	0.0943	3.30720338983051
A32	B39	0.3183	0.134	2.37360178970917
A32	B08	0.271	0.078	3.46991037131882
A32	B14	0.2941	0.1346	2.1833704528582
A23	A02	0.1997	0	1997
A23	A30	0.2196	0.0493	4.44534412955466
A23	A03	0.2196	0	2196
A23	A11	0.2196	0	2196
A23	A31	0.2187	0.0499	4.374
A23	A74	0.1984	0	1984
A23	A01	0.1965	0	1965
A23	A26	0.2429	0	2429
A23	A29	0.2433	0	2433
A23	B56	0.3542	0.0511	6.91796875
A23	B35	0.3795	0.0512	7.39766081871345
A23	B15	0.3484	0.0677	5.13864306784661
A23	B18	0.4	0.0678	5.89101620029455
A23	B39	0.4063	0.1059	3.83301886792453
A23	B08	0.3533	0.0514	6.86019417475728
A23	B14	0.3792	0.1064	3.56056338028169
A23	A32	0.0657	0	657
A24	A02	0.1997	0	1997
A24	A30	0.2196	0.0493	4.44534412955466
A24	A03	0.2196	0	2196
A24	A11	0.2196	0	2196
A24	A31	0.2187	0.0499	4.374
A24	A74	0.1984	0	1984
A24	A01	0.1965	0	1965
A24	A26	0.2429	0	2429
A24	A29	0.2433	0	2433
A24	B56	0.3542	0.0511	6.91796875
A24	B35	0.3795	0.0512	7.39766081871345
A24	B15	0.3484	0.0677	5.13864306784661
A24	B18	0.4	0.0678	5.89101620029455
A24	B39	0.4063	0.1059	3.83301886792453
A24	B08	0.3533	0.0514	6.86019417475728
A24	B14	0.3792	0.1064	3.56056338028169
A24	A32	0.0657	0	657
A24	A23	0	0	0
B58	A02	0.2662	0.0479	5.54583333333333
B58	A30	0.2995	0.1863	1.60675965665236
B58	A03	0.2995	0.1282	2.33437256430242
B58	A11	0.2995	0.1282	2.33437256430242
B58	A31	0.3101	0.1585	1.95523329129887
B58	A74	0.2874	0.1009	2.84554455445545
B58	A01	0.2397	0.1037	2.30924855491329
B58	A26	0.2899	0.0988	2.93124368048534
B58	A29	0.3023	0.125	2.41646682653877
B58	B56	0.3436	0.0769	4.46233766233766
B58	B35	0.331	0.0505	6.54150197628458
B58	B15	0.2974	0.0756	3.92866578599736
B58	B18	0.3457	0.0757	4.56068601583113
B58	B39	0.3562	0.1044	3.40861244019139
B58	B08	0.3552	0.0507	6.99212598425197
B58	B14	0.3812	0.1049	3.63047619047619
B58	A32	0.1384	0.1035	1.33590733590734
B58	A23	0.1381	0.0503	2.74007936507937
B58	A24	0.1381	0.0503	2.74007936507937
B27	A02	0.3613	0.0487	7.40368852459016
B27	A30	0.2977	0.1302	2.28472755180353
B27	A03	0.2977	0.0754	3.94304635761589
B27	A11	0.2977	0.0754	3.94304635761589
B27	A31	0.3448	0.1318	2.61410159211524
B27	A74	0.3213	0.0756	4.2443857331572
B27	A01	0.3061	0.0509	6.00196078431372
B27	A26	0.3242	0.0739	4.38108108108108
B27	A29	0.3005	0.0736	4.07734056987788
B27	B56	0.1758	0	1758
B27	B35	0.2376	0	2376
B27	B15	0.1972	0	1972
B27	B18	0.2391	0	2391
B27	B39	0.2166	0.0512	4.22222222222222
B27	B08	0.2161	0	2161
B27	B14	0.1956	0.0514	3.79805825242718
B27	A32	0.1665	0.0775	2.14561855670103
B27	A23	0.1961	0.0511	3.830078125
B27	A24	0.1961	0.0511	3.830078125
B27	B58	0.1669	0.0769	2.16753246753247
B38	A02	0.4147	0.1007	4.1140873015873
B38	A30	0.4259	0.1894	2.24749340369393
B38	A03	0.4259	0.1302	3.26861089792786
B38	A11	0.4259	0.1302	3.26861089792786
B38	A31	0.4239	0.1917	2.21011470281543
B38	A74	0.3981	0.1305	3.04823889739663
B38	A01	0.3805	0.1054	3.60663507109005
B38	A26	0.3	0.1276	2.34925606891151
B38	A29	0.4025	0.127	3.16679779701023
B38	B56	0.2166	0.0512	4.22222222222222
B38	B35	0.1185	0.0513	2.30544747081712
B38	B15	0.1573	0.0503	3.12103174603175
B38	B18	0.1193	0.0504	2.36237623762376
B38	B39	0.1005	0	1005
B38	B08	0.1369	0.0515	2.6531007751938
B38	B14	0.1185	0	1185
B38	A32	0.2278	0.134	1.69873228933632
B38	A23	0.2598	0.1059	2.45094339622641
B38	A24	0.2598	0.1059	2.45094339622641
B38	B58	0.2178	0.1044	2.08421052631579
B38	B27	0.1005	0.0512	1.95906432748538
B51	A02	0.3872	0.0488	7.91820040899795
B51	A30	0.3981	0.1305	3.04823889739663
B51	A03	0.3981	0.0756	5.25891677675033
B51	A11	0.3981	0.0756	5.25891677675033
B51	A31	0.3962	0.1321	2.99697428139183
B51	A74	0.3713	0.0757	4.89841688654354
B51	A01	0.3546	0.051	6.93933463796478
B51	A26	0.2763	0.0741	3.72371967654987
B51	A29	0.3753	0.0738	5.07848443843031
B51	B56	0.2164	0	2164
B51	B35	0.1003	0	1003
B51	B15	0.1571	0	1571
B51	B18	0.1192	0	1192
B51	B39	0.1185	0.0513	2.30544747081712
B51	B08	0.1183	0	1183
B51	B14	0.1369	0.0515	2.6531007751938
B51	A32	0.2067	0.0776	2.66023166023166
B51	A23	0.2378	0.0512	4.635477582846
B51	A24	0.2378	0.0512	4.635477582846
B51	B58	0.1969	0.0505	3.89130434782609
B51	B27	0.1185	0	1185
B51	B38	0.0158	0.0513	0.307392996108949
B13	A02	0.33	0.1168	2.8229255774166
B13	A30	0.3404	0.2062	1.65002423654872
B13	A03	0.3404	0.1467	2.31880108991826
B13	A11	0.3404	0.1467	2.31880108991826
B13	A31	0.3389	0.2087	1.62308429118774
B13	A74	0.3155	0.147	2.14479945615228
B13	A01	0.2964	0.1318	2.24715693707354
B13	A26	0.3182	0.1437	2.21279554937413
B13	A29	0.3438	0.1431	2.40083798882682
B13	B56	0.2613	0.0503	5.18452380952381
B13	B35	0.1571	0.0504	3.11089108910891
B13	B15	0.1017	0.0494	2.05454545454545
B13	B18	0.1388	0.0495	2.79838709677419
B13	B39	0.1573	0.1042	1.50814956855225
B13	B08	0.1765	0.0506	3.48126232741617
B13	B14	0.1767	0.1047	1.68606870229008
B13	A32	0.2012	0.1509	1.33245033112583
B13	A23	0.2323	0.1228	1.89015459723352
B13	A24	0.2323	0.1228	1.89015459723352
B13	B58	0.188	0.1305	1.43950995405819
B13	B27	0.1011	0.0503	2.00595238095238
B13	B38	0.0659	0.1042	0.63183125599233
B13	B51	0.0658	0.0504	1.3029702970297
B37	A02	0.2606	0.0634	4.10393700787402
B37	A30	0.2705	0.144	1.87716863289382
B37	A03	0.2705	0.09	3.00221975582686
B37	A11	0.2705	0.09	3.00221975582686
B37	A31	0.2694	0.1457	1.8477366255144
B37	A74	0.2477	0.0902	2.74307862679956
B37	A01	0.2751	0.0749	3.668
B37	A26	0.2962	0.0883	3.35067873303167
B37	A29	0.3211	0.0879	3.64886363636364
B37	B56	0.2409	0	2409
B37	B35	0.1388	0	1388
B37	B15	0.0843	0	843
B37	B18	0.1207	0	1207
B37	B39	0.1389	0.0494	2.80606060606061
B37	B08	0.1579	0	1579
B37	B14	0.158	0.0496	3.17907444668008
B37	A32	0.2678	0.0924	2.89513513513513
B37	A23	0.3019	0.0665	4.53303303303303
B37	A24	0.3019	0.0665	4.53303303303303
B37	B58	0.2534	0.0742	3.41049798115747
B37	B27	0.1582	0	1582
B37	B38	0.1201	0.0494	2.42626262626263
B37	B51	0.12	0	1200
B37	B13	0.0494	0.0486	1.01437371663244
