A01	A11	A03	A24	A26	A02	B15	B56	B51	B58	B35	B27	B13	A23	B14	B18	A30	B38	B39	B08	B37	A29	A32	A31	A74
B35	1537	803	1.96551724137931	1154	3.61475409836066	1.61866125760649	1.625	1.625	155	0	0	313	474	1.37393162393162	638	476	1.30390143737166	476	476	3.0379746835443	3.0379746835443	0.657563025210084	0.657563025210084	0.657563025210084	0.657563025210084
B27	1714	967	1.89920948616601	1145	4.184	1.56521739130435	2.89430894308943	2.89430894308943	472	313	313	0	154	1.33194154488518	633	472	1.2625250501002	473	473	2.94238683127572	2.94238683127572	0.635245901639344	0.635245901639344	0.635245901639344	0.635245901639344
B13	1910	1141	2.24110671936759	1324	4.88	1.56521739130435	3.57723577235772	3.57723577235772	636	474	474	154	0	1.68475991649269	800	636	1.59519038076152	637	637	3.63374485596708	3.63374485596708	0.963114754098361	0.963114754098361	0.963114754098361	0.963114754098361
A23	2.8865096359743	1.66846361185984	968	0.979253112033195	5.01224489795918	797	972	972	1.70675105485232	1.37393162393162	1.37393162393162	1.33194154488518	1.68475991649269	0	1.32432432432432	1.00422832980973	634	1.01061571125265	1.01061571125265	6.39495798319328	6.39495798319328	312	312	312	312
B14	7.69787234042553	4.27642276422764	1.23228346456693	1143	1.87843137254902	1.55708661417323	2.87854251012146	2.87854251012146	471	638	638	633	800	1.32432432432432	0	154	0.932135728542914	472	472	2.92622950819672	2.92622950819672	0.63265306122449	0.63265306122449	0.63265306122449	0.63265306122449
B18	7.83620689655172	4.36776859504132	1.59	974	2.26494023904382	1.258	3.63374485596708	3.63374485596708	638	476	476	472	636	1.00422832980973	154	0	0.95131845841785	313	313	2.3	2.3	0.318840579710145	0.318840579710145	0.318840579710145	0.318840579710145
A30	3.89917695473251	1.34967741935484	786	2.26494023904382	4.0546875	786	790	790	1.27732793522267	1.30390143737166	1.30390143737166	1.2625250501002	1.59519038076152	634	0.932135728542914	0.95131845841785	0	0.955193482688391	0.955193482688391	6.05645161290323	6.05645161290323	308	308	308	308
B38	7.88311688311688	4.39419087136929	1.59839357429719	975	2.276	1.26506024096386	3.65289256198347	3.65289256198347	639	476	476	473	637	1.01061571125265	472	313	0.955193482688391	0	0	2.31380753138075	2.31380753138075	0.32016632016632	0.32016632016632	0.32016632016632	0.32016632016632
B39	7.88311688311688	4.39419087136929	1.59839357429719	975	2.276	1.26506024096386	3.65289256198347	3.65289256198347	639	476	476	473	637	1.01061571125265	472	313	0.955193482688391	0	0	2.31380753138075	2.31380753138075	0.32016632016632	0.32016632016632	0.32016632016632	0.32016632016632
B08	3.95426195426195	4.24696356275304	8.696	967	3.06806282722513	7.32	7.41129032258065	7.41129032258065	3.67634854771784	3.0379746835443	3.0379746835443	2.94238683127572	3.63374485596708	6.39495798319328	2.92622950819672	2.3	6.05645161290323	2.31380753138075	2.31380753138075	0	0	3.54545454545455	3.54545454545455	3.54545454545455	3.54545454545455
B37	3.95426195426195	4.24696356275304	8.696	967	3.06806282722513	7.32	7.41129032258065	7.41129032258065	3.67634854771784	3.0379746835443	3.0379746835443	2.94238683127572	3.63374485596708	6.39495798319328	2.92622950819672	2.3	6.05645161290323	2.31380753138075	2.31380753138075	0	0	3.54545454545455	3.54545454545455	3.54545454545455	3.54545454545455
A29	3.60842105263158	1.16380449141347	627	1.62932790224033	3.5	465	630	630	0.975206611570248	0.657563025210084	0.657563025210084	0.635245901639344	0.963114754098361	312	0.63265306122449	0.318840579710145	308	0.32016632016632	0.32016632016632	3.54545454545455	3.54545454545455	0	0	0	0
A32	3.60842105263158	1.16380449141347	627	1.62932790224033	3.5	465	630	630	0.975206611570248	0.657563025210084	0.657563025210084	0.635245901639344	0.963114754098361	312	0.63265306122449	0.318840579710145	308	0.32016632016632	0.32016632016632	3.54545454545455	3.54545454545455	0	0	0	0
A31	3.60842105263158	1.16380449141347	627	1.62932790224033	3.5	465	630	630	0.975206611570248	0.657563025210084	0.657563025210084	0.635245901639344	0.963114754098361	312	0.63265306122449	0.318840579710145	308	0.32016632016632	0.32016632016632	3.54545454545455	3.54545454545455	0	0	0	0
A74	3.60842105263158	1.16380449141347	627	1.62932790224033	3.5	465	630	630	0.975206611570248	0.657563025210084	0.657563025210084	0.635245901639344	0.963114754098361	312	0.63265306122449	0.318840579710145	308	0.32016632016632	0.32016632016632	3.54545454545455	3.54545454545455	0	0	0	0
