pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
B56	A31	0.0729	0.1381	0.527496382054993
B56	A02	0.0654	0.1512	0.432253800396563
B56	A23	0.0617	0.1235	0.499190938511327
B56	A24	0.0617	0.1235	0.499190938511327
B56	B13	0.0375	0.0777	0.482005141388175
B56	B51	0.026	0.1055	0.246212121212121
B56	B58	0.0177	0.0711	0.248595505617978
B56	B35	0.0177	0.0711	0.248595505617978
B56	B15	0.0105	0.0347	0.301724137931034
B08	A30	0.0846	0.1241	0.681159420289855
B08	A32	0.071	0.1451	0.488980716253443
B08	A74	0.071	0.1451	0.488980716253443
B08	A01	0.082	0.1468	0.558202859087815
B08	A26	0.071	0.1177	0.602716468590832
B08	A11	0.0743	0.1327	0.559487951807229
B08	A03	0.0783	0.1322	0.591836734693878
B08	A29	0.084	0.1675	0.501193317422434
B08	A31	0.0825	0.1315	0.626899696048632
B08	A02	0.0788	0.1445	0.544951590594744
B08	A23	0.075	0.117	0.640478223740393
B08	A24	0.075	0.117	0.640478223740393
B08	B13	0.0542	0.0715	0.756983240223464
B08	B51	0.0387	0.1123	0.344306049822064
B08	B58	0.0468	0.0712	0.656381486676017
B08	B35	0.0468	0.0712	0.656381486676017
B08	B15	0.0394	0.0589	0.667796610169491
B08	B56	0.0284	0.023	1.22943722943723
B27	A30	0.0712	0.1436	0.495476687543493
B27	A32	0.0504	0.1102	0.456935630099728
B27	A74	0.0504	0.1102	0.456935630099728
B27	A01	0.0617	0.1098	0.561419472247498
B27	A26	0.0541	0.0843	0.640995260663507
B27	A11	0.0542	0.0965	0.561076604554865
B27	A03	0.0581	0.0962	0.603322949117342
B27	A29	0.0637	0.1294	0.491891891891892
B27	A31	0.0616	0.0973	0.632443531827515
B27	A02	0.0693	0.1365	0.507320644216691
B27	A23	0.0618	0.0838	0.736591179976162
B27	A24	0.0618	0.0838	0.736591179976162
B27	B13	0.0647	0.0867	0.745391705069124
B27	B51	0.0499	0.1518	0.328505595786702
B27	B58	0.0581	0.1088	0.533516988062443
B27	B35	0.0581	0.1088	0.533516988062443
B27	B15	0.0506	0.0959	0.527083333333333
B27	B56	0.0395	0.0585	0.674061433447099
B27	B08	0.0431	0.0709	0.607042253521127
B18	A30	0.0733	0.1493	0.490629183400268
B18	A32	0.0599	0.1707	0.350702576112412
B18	A74	0.0599	0.1707	0.350702576112412
B18	A01	0.0753	0.17	0.442680776014109
B18	A26	0.0599	0.1427	0.419467787114846
B18	A11	0.0676	0.1556	0.434168272318561
B18	A03	0.0716	0.155	0.461637653127015
B18	A29	0.0734	0.191	0.384092098377813
B18	A31	0.0713	0.1569	0.454140127388535
B18	A02	0.0676	0.1699	0.397647058823529
B18	A23	0.0638	0.1419	0.449295774647887
B18	A24	0.0638	0.1419	0.449295774647887
B18	B13	0.0488	0.0522	0.933078393881453
B18	B51	0.0371	0.0787	0.470812182741117
B18	B58	0.0286	0.0461	0.619047619047619
B18	B35	0.0286	0.0461	0.619047619047619
B18	B15	0.0249	0.0343	0.723837209302326
B18	B56	0.0249	0.0461	0.538961038961039
B18	B08	0.0432	0.0462	0.93304535637149
B18	B27	0.0396	0.1074	0.368372093023256
B38	A30	0.0731	0.1236	0.590945836701698
B38	A32	0.056	0.1444	0.387543252595156
B38	A74	0.056	0.1444	0.387543252595156
B38	A01	0.0706	0.1461	0.482900136798906
B38	A26	0.056	0.1171	0.477815699658703
B38	A11	0.063	0.1321	0.476550680786687
B38	A03	0.0669	0.1316	0.507972665148064
B38	A29	0.0725	0.1667	0.434652278177458
B38	A31	0.0711	0.1309	0.542748091603053
B38	A02	0.0636	0.1438	0.441973592772759
B38	A23	0.0598	0.1164	0.513304721030043
B38	A24	0.0598	0.1164	0.513304721030043
B38	B13	0.0394	0.0712	0.552594670406732
B38	B51	0.0333	0.1052	0.316239316239316
B38	B58	0.0358	0.0709	0.504225352112676
B38	B35	0.0358	0.0709	0.504225352112676
B38	B15	0.0285	0.0587	0.48469387755102
B38	B56	0.0177	0.0229	0.769565217391304
B38	B08	0.0285	0	285
B38	B27	0.0322	0.0584	0.55042735042735
B38	B18	0.0213	0.046	0.462039045553145
B39	A30	0.0731	0.1236	0.590945836701698
B39	A32	0.056	0.1444	0.387543252595156
B39	A74	0.056	0.1444	0.387543252595156
B39	A01	0.0706	0.1461	0.482900136798906
B39	A26	0.056	0.1171	0.477815699658703
B39	A11	0.063	0.1321	0.476550680786687
B39	A03	0.0669	0.1316	0.507972665148064
B39	A29	0.0725	0.1667	0.434652278177458
B39	A31	0.0711	0.1309	0.542748091603053
B39	A02	0.0636	0.1438	0.441973592772759
B39	A23	0.0598	0.1164	0.513304721030043
B39	A24	0.0598	0.1164	0.513304721030043
B39	B13	0.0394	0.0712	0.552594670406732
B39	B51	0.0333	0.1052	0.316239316239316
B39	B58	0.0358	0.0709	0.504225352112676
B39	B35	0.0358	0.0709	0.504225352112676
B39	B15	0.0285	0.0587	0.48469387755102
B39	B56	0.0177	0.0229	0.769565217391304
B39	B08	0.0285	0	285
B39	B27	0.0322	0.0584	0.55042735042735
B39	B18	0.0213	0.046	0.462039045553145
B39	B38	0	0	0
B14	A30	0.073	0.1105	0.66003616636528
B14	A32	0.0559	0.1309	0.426717557251908
B14	A74	0.0559	0.1309	0.426717557251908
B14	A01	0.0705	0.1327	0.530873493975904
B14	A26	0.0559	0.1041	0.536468330134357
B14	A11	0.0629	0.1189	0.528571428571428
B14	A03	0.0668	0.1185	0.563237774030354
B14	A29	0.0725	0.153	0.473546701502286
B14	A31	0.071	0.1176	0.603228547153781
B14	A02	0.0635	0.1304	0.486590038314176
B14	A23	0.0598	0.1035	0.577220077220077
B14	A24	0.0598	0.1035	0.577220077220077
B14	B13	0.0468	0.059	0.791878172588833
B14	B51	0.0406	0.0925	0.438444924406047
B14	B58	0.0431	0.0588	0.731748726655348
B14	B35	0.0431	0.0588	0.731748726655348
B14	B15	0.0357	0.0711	0.501404494382023
B14	B56	0.0248	0.0347	0.712643678160919
B14	B08	0.0357	0.0114	3.10434782608696
B14	B27	0.0321	0.0464	0.690322580645161
B14	B18	0.0286	0.058	0.492254733218589
B14	B38	0.007	0.0114	0.608695652173913
B14	B39	0.007	0.0114	0.608695652173913
B37	A30	0.0693	0.123	0.562956945572705
B37	A32	0.0523	0.1437	0.363699582753825
B37	A74	0.0523	0.1437	0.363699582753825
B37	A01	0.0668	0.1455	0.458791208791209
B37	A26	0.0523	0.1166	0.448157669237361
B37	A11	0.0593	0.1315	0.450607902735562
B37	A03	0.0631	0.131	0.481311975591152
B37	A29	0.065	0.1659	0.391566265060241
B37	A31	0.0636	0.1303	0.487730061349693
B37	A02	0.0637	0.1431	0.444832402234637
B37	A23	0.0599	0.1159	0.516379310344828
B37	A24	0.0599	0.1159	0.516379310344828
B37	B13	0.0431	0.0229	1.87391304347826
B37	B51	0.0394	0.0465	0.84549356223176
B37	B58	0.0358	0.0228	1.56331877729258
B37	B35	0.0358	0.0228	1.56331877729258
B37	B15	0.0395	0.0345	1.14161849710983
B37	B56	0.0395	0.0464	0.849462365591398
B37	B08	0.0469	0.0465	1.00643776824034
B37	B27	0.0395	0.0827	0.477053140096618
B37	B18	0.0214	0.0225	0.946902654867257
B37	B38	0.0213	0.0463	0.459051724137931
B37	B39	0.0213	0.0463	0.459051724137931
B37	B14	0.0213	0.0345	0.615606936416185
