pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
B27	B51	0.0472	0	472
B27	B58	0.0313	0	313
B27	B35	0.0313	0	313
B13	A01	0.191	0	1910
B13	A11	0.1141	0	1141
B13	A03	0.1134	0.0505	2.24110671936759
B13	A24	0.1324	0	1324
B13	A26	0.122	0.0249	4.88
B13	A02	0.0792	0.0505	1.56521739130435
B13	B15	0.088	0.0245	3.57723577235772
B13	B56	0.088	0.0245	3.57723577235772
B13	B51	0.0636	0	636
B13	B58	0.0474	0	474
B13	B35	0.0474	0	474
B13	B27	0.0154	0	154
A23	A01	0.1348	0.0466	2.8865096359743
A23	A11	0.1238	0.0741	1.66846361185984
A23	A03	0.0968	0	968
A23	A24	0.0472	0.0481	0.979253112033195
A23	A26	0.1228	0.0244	5.01224489795918
A23	A02	0.0797	0	797
A23	B15	0.0972	0	972
A23	B56	0.0972	0	972
A23	B51	0.0809	0.0473	1.70675105485232
A23	B58	0.0643	0.0467	1.37393162393162
A23	B35	0.0643	0.0467	1.37393162393162
A23	B27	0.0638	0.0478	1.33194154488518
A23	B13	0.0807	0.0478	1.68475991649269
B14	A01	0.1809	0.0234	7.69787234042553
B14	A11	0.1052	0.0245	4.27642276422764
B14	A03	0.0626	0.0507	1.23228346456693
B14	A24	0.1143	0	1143
B14	A26	0.0958	0.0509	1.87843137254902
B14	A02	0.0791	0.0507	1.55708661417323
B14	B15	0.0711	0.0246	2.87854251012146
B14	B56	0.0711	0.0246	2.87854251012146
B14	B51	0.0471	0	471
B14	B58	0.0638	0	638
B14	B35	0.0638	0	638
B14	B27	0.0633	0	633
B14	B13	0.08	0	800
B14	A23	0.0637	0.048	1.32432432432432
B18	A01	0.1818	0.0231	7.83620689655172
B18	A11	0.1057	0.0241	4.36776859504132
B18	A03	0.0795	0.0499	1.59
B18	A24	0.0974	0	974
B18	A26	0.1137	0.0501	2.26494023904382
B18	A02	0.0629	0.0499	1.258
B18	B15	0.0883	0.0242	3.63374485596708
B18	B56	0.0883	0.0242	3.63374485596708
B18	B51	0.0638	0	638
B18	B58	0.0476	0	476
B18	B35	0.0476	0	476
B18	B27	0.0472	0	472
B18	B13	0.0636	0	636
B18	A23	0.0475	0.0472	1.00422832980973
B18	B14	0.0154	0	154
A30	A01	0.1895	0.0485	3.89917695473251
A30	A11	0.1046	0.0774	1.34967741935484
A30	A03	0.0786	0	786
A30	A24	0.1137	0.0501	2.26494023904382
A30	A26	0.1038	0.0255	4.0546875
A30	A02	0.0786	0	786
A30	B15	0.079	0	790
A30	B56	0.079	0	790
A30	B51	0.0631	0.0493	1.27732793522267
A30	B58	0.0635	0.0486	1.30390143737166
A30	B35	0.0635	0.0486	1.30390143737166
A30	B27	0.063	0.0498	1.2625250501002
A30	B13	0.0796	0.0498	1.59519038076152
A30	A23	0.0634	0	634
A30	B14	0.0467	0.05	0.932135728542914
A30	B18	0.0469	0.0492	0.95131845841785
B38	A01	0.1821	0.023	7.88311688311688
B38	A11	0.1059	0.024	4.39419087136929
B38	A03	0.0796	0.0497	1.59839357429719
B38	A24	0.0975	0	975
B38	A26	0.1138	0.0499	2.276
B38	A02	0.063	0.0497	1.26506024096386
B38	B15	0.0884	0.0241	3.65289256198347
B38	B56	0.0884	0.0241	3.65289256198347
B38	B51	0.0639	0	639
B38	B58	0.0476	0	476
B38	B35	0.0476	0	476
B38	B27	0.0473	0	473
B38	B13	0.0637	0	637
B38	A23	0.0476	0.047	1.01061571125265
B38	B14	0.0472	0	472
B38	B18	0.0313	0	313
B38	A30	0.0469	0.049	0.955193482688391
B39	A01	0.1821	0.023	7.88311688311688
B39	A11	0.1059	0.024	4.39419087136929
B39	A03	0.0796	0.0497	1.59839357429719
B39	A24	0.0975	0	975
B39	A26	0.1138	0.0499	2.276
B39	A02	0.063	0.0497	1.26506024096386
B39	B15	0.0884	0.0241	3.65289256198347
B39	B56	0.0884	0.0241	3.65289256198347
B39	B51	0.0639	0	639
B39	B58	0.0476	0	476
B39	B35	0.0476	0	476
B39	B27	0.0473	0	473
B39	B13	0.0637	0	637
B39	A23	0.0476	0.047	1.01061571125265
B39	B14	0.0472	0	472
B39	B18	0.0313	0	313
B39	A30	0.0469	0.049	0.955193482688391
B39	B38	0	0	0
B08	A01	0.1902	0.048	3.95426195426195
B08	A11	0.1049	0.0246	4.24696356275304
B08	A03	0.1087	0.0124	8.696
B08	A24	0.0967	0	967
B08	A26	0.1172	0.0381	3.06806282722513
B08	A02	0.0915	0.0124	7.32
B08	B15	0.0919	0.0123	7.41129032258065
B08	B56	0.0919	0.0123	7.41129032258065
B08	B51	0.0886	0.024	3.67634854771784
B08	B58	0.072	0.0236	3.0379746835443
B08	B35	0.072	0.0236	3.0379746835443
B08	B27	0.0715	0.0242	2.94238683127572
B08	B13	0.0883	0.0242	3.63374485596708
B08	A23	0.0761	0.0118	6.39495798319328
B08	B14	0.0714	0.0243	2.92622950819672
B08	B18	0.0552	0.0239	2.3
B08	A30	0.0751	0.0123	6.05645161290323
B08	B38	0.0553	0.0238	2.31380753138075
B08	B39	0.0553	0.0238	2.31380753138075
B37	A01	0.1902	0.048	3.95426195426195
B37	A11	0.1049	0.0246	4.24696356275304
B37	A03	0.1087	0.0124	8.696
B37	A24	0.0967	0	967
B37	A26	0.1172	0.0381	3.06806282722513
B37	A02	0.0915	0.0124	7.32
B37	B15	0.0919	0.0123	7.41129032258065
B37	B56	0.0919	0.0123	7.41129032258065
B37	B51	0.0886	0.024	3.67634854771784
B37	B58	0.072	0.0236	3.0379746835443
B37	B35	0.072	0.0236	3.0379746835443
B37	B27	0.0715	0.0242	2.94238683127572
B37	B13	0.0883	0.0242	3.63374485596708
B37	A23	0.0761	0.0118	6.39495798319328
B37	B14	0.0714	0.0243	2.92622950819672
B37	B18	0.0552	0.0239	2.3
B37	A30	0.0751	0.0123	6.05645161290323
B37	B38	0.0553	0.0238	2.31380753138075
B37	B39	0.0553	0.0238	2.31380753138075
B37	B08	0	0	0
A29	A01	0.1714	0.0474	3.60842105263158
A29	A11	0.0881	0.0756	1.16380449141347
A29	A03	0.0627	0	627
A29	A24	0.08	0.049	1.62932790224033
A29	A26	0.0875	0.0249	3.5
A29	A02	0.0465	0	465
A29	B15	0.063	0	630
A29	B56	0.063	0	630
A29	B51	0.0472	0.0483	0.975206611570248
A29	B58	0.0313	0.0475	0.657563025210084
A29	B35	0.0313	0.0475	0.657563025210084
A29	B27	0.031	0.0487	0.635245901639344
A29	B13	0.047	0.0487	0.963114754098361
A29	A23	0.0312	0	312
A29	B14	0.031	0.0489	0.63265306122449
A29	B18	0.0154	0.0482	0.318840579710145
A29	A30	0.0308	0	308
A29	B38	0.0154	0.048	0.32016632016632
A29	B39	0.0154	0.048	0.32016632016632
A29	B08	0.0429	0.012	3.54545454545455
A29	B37	0.0429	0.012	3.54545454545455
A32	A01	0.1714	0.0474	3.60842105263158
A32	A11	0.0881	0.0756	1.16380449141347
A32	A03	0.0627	0	627
A32	A24	0.08	0.049	1.62932790224033
A32	A26	0.0875	0.0249	3.5
A32	A02	0.0465	0	465
A32	B15	0.063	0	630
A32	B56	0.063	0	630
A32	B51	0.0472	0.0483	0.975206611570248
A32	B58	0.0313	0.0475	0.657563025210084
A32	B35	0.0313	0.0475	0.657563025210084
A32	B27	0.031	0.0487	0.635245901639344
A32	B13	0.047	0.0487	0.963114754098361
A32	A23	0.0312	0	312
A32	B14	0.031	0.0489	0.63265306122449
A32	B18	0.0154	0.0482	0.318840579710145
A32	A30	0.0308	0	308
A32	B38	0.0154	0.048	0.32016632016632
A32	B39	0.0154	0.048	0.32016632016632
A32	B08	0.0429	0.012	3.54545454545455
A32	B37	0.0429	0.012	3.54545454545455
A32	A29	0	0	0
A31	A01	0.1714	0.0474	3.60842105263158
A31	A11	0.0881	0.0756	1.16380449141347
A31	A03	0.0627	0	627
A31	A24	0.08	0.049	1.62932790224033
A31	A26	0.0875	0.0249	3.5
A31	A02	0.0465	0	465
A31	B15	0.063	0	630
A31	B56	0.063	0	630
A31	B51	0.0472	0.0483	0.975206611570248
A31	B58	0.0313	0.0475	0.657563025210084
A31	B35	0.0313	0.0475	0.657563025210084
A31	B27	0.031	0.0487	0.635245901639344
A31	B13	0.047	0.0487	0.963114754098361
A31	A23	0.0312	0	312
A31	B14	0.031	0.0489	0.63265306122449
A31	B18	0.0154	0.0482	0.318840579710145
A31	A30	0.0308	0	308
A31	B38	0.0154	0.048	0.32016632016632
A31	B39	0.0154	0.048	0.32016632016632
A31	B08	0.0429	0.012	3.54545454545455
A31	B37	0.0429	0.012	3.54545454545455
A31	A29	0	0	0
A31	A32	0	0	0
A74	A01	0.1714	0.0474	3.60842105263158
A74	A11	0.0881	0.0756	1.16380449141347
A74	A03	0.0627	0	627
A74	A24	0.08	0.049	1.62932790224033
A74	A26	0.0875	0.0249	3.5
A74	A02	0.0465	0	465
A74	B15	0.063	0	630
A74	B56	0.063	0	630
A74	B51	0.0472	0.0483	0.975206611570248
A74	B58	0.0313	0.0475	0.657563025210084
A74	B35	0.0313	0.0475	0.657563025210084
A74	B27	0.031	0.0487	0.635245901639344
A74	B13	0.047	0.0487	0.963114754098361
A74	A23	0.0312	0	312
A74	B14	0.031	0.0489	0.63265306122449
A74	B18	0.0154	0.0482	0.318840579710145
A74	A30	0.0308	0	308
A74	B38	0.0154	0.048	0.32016632016632
A74	B39	0.0154	0.048	0.32016632016632
A74	B08	0.0429	0.012	3.54545454545455
A74	B37	0.0429	0.012	3.54545454545455
A74	A29	0	0	0
A74	A32	0	0	0
A74	A31	0	0	0
