JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	SRR924570.M.proventriculus	SRR924573.F.proventriculus	SRR924582.M.spleen	SRR924585.F.spleen	SRR924202.M.adrenal_gland	SRR924485.M.adipose	SRR924539.F.adipose	SRR924540.M.cerebellum	SRR924541.F.cerebellum	SRR924542.M.cerebrum	SRR924546.F.cerebrum	SRR924547.M.testes	SRR924548.F.ovary	SRR924549.M.heart	SRR924550.F.heart	SRR924551.M.hypothalamus	SRR924552.F.hypothalamus	SRR924553.M.kidney	SRR924554.F.kidney	SRR924555.M.liver	SRR924556.F.liver	SRR924557.M.lung	SRR924558.F.lung	SRR924559.M.breast_muscle	SRR924561.F.breast_muscle	SRR924564.M.sciatic nerve	SRR924567.F.sciatic nerve
Contig1_043	Contig1	210357	210451	-	RJF.Contig1.LOC19.MHCY5f	(0 u : 47 m)	(0 u : 253 m)	(11 u : 6311 m)	(4 u : 3963 m)	(14 u : 897 m)	(1 u : 2038 m)	(2 u : 2625 m)	(3 u : 96 m)	(1 u : 109 m)	(0 u : 26 m)	(0 u : 41 m)	(0 u : 14 m)	(0 u : 195 m)	(4 u : 617 m)	(5 u : 1389 m)	(0 u : 140 m)	(3 u : 99 m)	(0 u : 719 m)	(54 u : 3735 m)	(1 u : 402 m)	(1 u : 591 m)	(6 u : 3971 m)	(13 u : 7194 m)	(0 u : 65 m)	(0 u : 100 m)	(20 u : 1880 m)	(2 u : 389 m)
Contig1_067	Contig1	234330	234618	-	RJF.Contig1.LOC24.YLEC10c	(0 u : 2 m)	(0 u : 10 m)	(0 u : 312 m)	(0 u : 102 m)	(0 u : 41 m)	(0 u : 27 m)	(0 u : 77 m)	(0 u : 12 m)	(0 u : 4 m)	(0 u : 1 m)	(0 u : 4 m)	(No Support?)	(0 u : 3 m)	(0 u : 27 m)	(0 u : 26 m)	(0 u : 7 m)	(0 u : 4 m)	(0 u : 5 m)	(0 u : 90 m)	(0 u : 25 m)	(0 u : 14 m)	(0 u : 21 m)	(0 u : 33 m)	(0 u : 3 m)	(0 u : 7 m)	(0 u : 90 m)	(0 u : 27 m)
Contig1_047	Contig1	209393	209564	-	RJF.Contig1.LOC19.MHCY5f	(No Support?)	(No Support?)	(0 u : 11 m)	(0 u : 7 m)	(0 u : 5 m)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 5 m)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 23 m)	(0 u : 2 m)	(0 u : 2 m)	(0 u : 5 m)	(0 u : 4 m)	(No Support?)	(No Support?)	(0 u : 11 m)	(0 u : 2 m)
Contig1_027	Contig1	186592	186672	-	RJF.Contig1.LOC14.MHCY2v	(0 u : 1 m)	(0 u : 8 m)	(0 u : 216 m)	(0 u : 122 m)	(0 u : 392 m)	(0 u : 34 m)	(0 u : 99 m)	(0 u : 35 m)	(0 u : 26 m)	(0 u : 8 m)	(0 u : 17 m)	(0 u : 2 m)	(0 u : 12 m)	(0 u : 84 m)	(0 u : 150 m)	(0 u : 86 m)	(0 u : 28 m)	(0 u : 11 m)	(0 u : 593 m)	(0 u : 33 m)	(0 u : 10 m)	(0 u : 168 m)	(0 u : 146 m)	(0 u : 13 m)	(0 u : 20 m)	(0 u : 1590 m)	(0 u : 126 m)
Contig1_117	Contig1	326429	326542	-	RJF.Contig1.LOC39.MHCY13e	(No Support?)	(1 u : 6 m)	(0 u : 94 m)	(0 u : 60 m)	(0 u : 177 m)	(0 u : 23 m)	(0 u : 23 m)	(0 u : 15 m)	(0 u : 23 m)	(0 u : 6 m)	(0 u : 7 m)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 42 m)	(0 u : 116 m)	(0 u : 29 m)	(0 u : 10 m)	(0 u : 6 m)	(2 u : 228 m)	(0 u : 14 m)	(0 u : 9 m)	(0 u : 173 m)	(0 u : 237 m)	(0 u : 5 m)	(0 u : 10 m)	(0 u : 797 m)	(0 u : 38 m)
Contig1_140	Contig1	354545	354628	+	RJF.Contig1.LOC44.MHCY15m	(0 u : 82 m)	(0 u : 74 m)	(0 u : 2 m)	(No Support?)	(0 u : 65 m)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 5 m)	(0 u : 25 m)	(0 u : 32 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 4 m)	(0 u : 3 m)	(No Support?)	(No Support?)	(0 u : 40 m)	(0 u : 34 m)	(0 u : 5 m)	(0 u : 1 m)
Contig1_061	Contig1	231365	231653	-	RJF.Contig1.LOC23.YLEC9b	(No Support?)	(10 u : 4 m)	(197 u : 108 m)	(71 u : 28 m)	(11 u : 19 m)	(17 u : 14 m)	(44 u : 14 m)	(1 u : 2 m)	(1 u : 1 m)	(No Support?)	(2 u : 2 m)	(No Support?)	(No Support?)	(18 u : 4 m)	(7 u : 5 m)	(2 u : 0 m)	(1 u : 0 m)	(7 u : 0 m)	(38 u : 42 m)	(7 u : 10 m)	(17 u : 2 m)	(20 u : 7 m)	(15 u : 16 m)	(1 u : 1 m)	(4 u : 6 m)	(29 u : 15 m)	(11 u : 9 m)
Contig1_085	Contig1	269218	269302	+	RJF.Contig1.LOC31.YLEC13d	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 5 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 9 m)	(No Support?)	(No Support?)	(0 u : 5 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 19 m)	(No Support?)
Contig1_134	Contig1	350305	350601	+	RJF.Contig1.LOC43.YLEC18f	(No Support?)	(0 u : 1 m)	(0 u : 4 m)	(0 u : 5 m)	(0 u : 7 m)	(0 u : 1 m)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 16 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)
Contig1_160	Contig1	384173	384284	-	RJF.Contig1.LOC50.MHCY18i	(0 u : 3 m)	(1 u : 8 m)	(2 u : 214 m)	(3 u : 139 m)	(0 u : 71 m)	(4 u : 38 m)	(1 u : 69 m)	(0 u : 8 m)	(0 u : 10 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(0 u : 8 m)	(0 u : 25 m)	(3 u : 46 m)	(0 u : 20 m)	(0 u : 11 m)	(0 u : 12 m)	(3 u : 203 m)	(0 u : 10 m)	(0 u : 17 m)	(0 u : 64 m)	(5 u : 123 m)	(0 u : 6 m)	(0 u : 7 m)	(3 u : 298 m)	(0 u : 26 m)
Contig1_166	Contig1	396079	396161	-	RJF.Contig1.LOC51.MHCY19t	(No Support?)	(No Support?)	(0 u : 16 m)	(0 u : 5 m)	(0 u : 28 m)	(0 u : 5 m)	(0 u : 8 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 5 m)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 19 m)	(0 u : 5 m)	(0 u : 1 m)	(0 u : 6 m)	(0 u : 8 m)	(No Support?)	(0 u : 1 m)	(0 u : 33 m)	(0 u : 7 m)
Contig1_156	Contig1	385617	385742	-	RJF.Contig1.LOC50.MHCY18i	(No Support?)	(0 u : 1 m)	(0 u : 138 m)	(0 u : 94 m)	(0 u : 82 m)	(0 u : 16 m)	(0 u : 26 m)	(0 u : 5 m)	(0 u : 5 m)	(0 u : 2 m)	(0 u : 7 m)	(No Support?)	(0 u : 1 m)	(0 u : 15 m)	(0 u : 43 m)	(1 u : 15 m)	(0 u : 4 m)	(0 u : 3 m)	(0 u : 68 m)	(0 u : 20 m)	(0 u : 2 m)	(0 u : 22 m)	(0 u : 40 m)	(0 u : 4 m)	(0 u : 3 m)	(1 u : 288 m)	(0 u : 26 m)
Contig1_131	Contig1	349542	349731	+	RJF.Contig1.LOC43.YLEC18f	(No Support?)	(No Support?)	(0 u : 7 m)	(0 u : 3 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 31 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)
Contig1_031	Contig1	192533	192627	-	RJF.Contig1.LOC16.MHCY3h	(0 u : 47 m)	(0 u : 254 m)	(0 u : 6295 m)	(0 u : 3948 m)	(0 u : 887 m)	(0 u : 2033 m)	(0 u : 2631 m)	(0 u : 95 m)	(0 u : 105 m)	(0 u : 25 m)	(0 u : 39 m)	(0 u : 14 m)	(0 u : 195 m)	(0 u : 625 m)	(0 u : 1393 m)	(0 u : 140 m)	(0 u : 97 m)	(0 u : 716 m)	(0 u : 3744 m)	(0 u : 404 m)	(0 u : 590 m)	(0 u : 3955 m)	(0 u : 7179 m)	(0 u : 66 m)	(0 u : 102 m)	(0 u : 1879 m)	(0 u : 399 m)
Contig1_090	Contig1	274985	275229	-	RJF.Contig1.LOC32.MHCY9i	(0 u : 7 m)	(0 u : 53 m)	(2 u : 2606 m)	(1 u : 1745 m)	(0 u : 192 m)	(3 u : 1487 m)	(0 u : 1266 m)	(1 u : 27 m)	(0 u : 32 m)	(0 u : 9 m)	(0 u : 7 m)	(0 u : 7 m)	(0 u : 65 m)	(0 u : 147 m)	(1 u : 401 m)	(1 u : 33 m)	(0 u : 22 m)	(1 u : 374 m)	(0 u : 460 m)	(0 u : 119 m)	(0 u : 162 m)	(1 u : 1225 m)	(1 u : 2728 m)	(0 u : 318 m)	(0 u : 283 m)	(0 u : 468 m)	(0 u : 48 m)
Contig1_110	Contig1	312716	312798	+	RJF.Contig1.LOC37.MHCY12q	(No Support?)	(26 u : 0 m)	(93 u : 0 m)	(72 u : 0 m)	(100 u : 0 m)	(45 u : 0 m)	(130 u : 0 m)	(7 u : 0 m)	(6 u : 0 m)	(3 u : 0 m)	(3 u : 0 m)	(3 u : 0 m)	(15 u : 0 m)	(47 u : 0 m)	(89 u : 0 m)	(8 u : 0 m)	(7 u : 0 m)	(20 u : 0 m)	(268 u : 0 m)	(34 u : 0 m)	(41 u : 0 m)	(80 u : 0 m)	(161 u : 0 m)	(5 u : 0 m)	(6 u : 0 m)	(108 u : 0 m)	(46 u : 0 m)
Contig1_019	Contig1	174992	175086	-	RJF.Contig1.LOC13.MHCY1d	(2 u : 0 m)	(17 u : 4 m)	(277 u : 41 m)	(179 u : 31 m)	(140 u : 22 m)	(55 u : 12 m)	(129 u : 29 m)	(16 u : 3 m)	(19 u : 5 m)	(3 u : 0 m)	(6 u : 2 m)	(3 u : 0 m)	(23 u : 1 m)	(70 u : 4 m)	(114 u : 11 m)	(26 u : 4 m)	(13 u : 3 m)	(40 u : 1 m)	(348 u : 57 m)	(34 u : 3 m)	(31 u : 3 m)	(221 u : 44 m)	(281 u : 41 m)	(4 u : 0 m)	(7 u : 2 m)	(342 u : 42 m)	(43 u : 7 m)
Contig1_069	Contig1	233553	233775	-	RJF.Contig1.LOC24.YLEC10c	(0 u : 13 m)	(0 u : 49 m)	(0 u : 2026 m)	(0 u : 911 m)	(0 u : 173 m)	(0 u : 176 m)	(0 u : 277 m)	(0 u : 23 m)	(0 u : 7 m)	(No Support?)	(0 u : 5 m)	(No Support?)	(0 u : 27 m)	(0 u : 82 m)	(0 u : 100 m)	(0 u : 14 m)	(0 u : 13 m)	(0 u : 58 m)	(0 u : 438 m)	(0 u : 119 m)	(0 u : 123 m)	(0 u : 155 m)	(0 u : 213 m)	(0 u : 29 m)	(0 u : 53 m)	(0 u : 204 m)	(0 u : 67 m)
Contig1_083	Contig1	268637	268832	+	RJF.Contig1.LOC31.YLEC13d	(No Support?)	(No Support?)	(0 u : 8 m)	(0 u : 7 m)	(0 u : 2 m)	(0 u : 2 m)	(0 u : 13 m)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 28 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 26 m)	(0 u : 15 m)	(No Support?)	(0 u : 1 m)	(0 u : 8 m)	(No Support?)
Contig1_171	Contig1	408483	408562	-	RJF.Contig1.LOC52.MHCY20o	(No Support?)	(0 u : 7 m)	(0 u : 80 m)	(0 u : 36 m)	(0 u : 224 m)	(0 u : 14 m)	(0 u : 38 m)	(0 u : 31 m)	(0 u : 14 m)	(0 u : 7 m)	(0 u : 16 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 36 m)	(0 u : 44 m)	(0 u : 48 m)	(0 u : 15 m)	(0 u : 1 m)	(0 u : 424 m)	(0 u : 22 m)	(0 u : 9 m)	(0 u : 52 m)	(0 u : 51 m)	(0 u : 2 m)	(0 u : 6 m)	(0 u : 716 m)	(0 u : 60 m)
Contig1_119	Contig1	326020	326204	-	RJF.Contig1.LOC39.MHCY13e	(0 u : 1 m)	(0 u : 2 m)	(0 u : 49 m)	(0 u : 35 m)	(0 u : 182 m)	(0 u : 22 m)	(0 u : 38 m)	(0 u : 20 m)	(0 u : 23 m)	(0 u : 6 m)	(0 u : 10 m)	(No Support?)	(No Support?)	(0 u : 67 m)	(0 u : 91 m)	(0 u : 34 m)	(0 u : 3 m)	(0 u : 2 m)	(0 u : 182 m)	(0 u : 11 m)	(0 u : 2 m)	(0 u : 114 m)	(1 u : 161 m)	(0 u : 4 m)	(0 u : 4 m)	(0 u : 814 m)	(0 u : 42 m)
Contig1_077	Contig1	264322	264566	-	RJF.Contig1.LOC30.MHCY8a	(0 u : 30 m)	(0 u : 162 m)	(6 u : 6412 m)	(8 u : 3910 m)	(1 u : 917 m)	(3 u : 1551 m)	(2 u : 1289 m)	(0 u : 86 m)	(0 u : 65 m)	(0 u : 45 m)	(0 u : 35 m)	(0 u : 9 m)	(0 u : 141 m)	(3 u : 1153 m)	(2 u : 2716 m)	(0 u : 225 m)	(0 u : 70 m)	(0 u : 502 m)	(1 u : 1168 m)	(0 u : 332 m)	(0 u : 510 m)	(6 u : 9143 m)	(9 u : 14866 m)	(0 u : 130 m)	(0 u : 171 m)	(12 u : 5504 m)	(0 u : 203 m)
Contig1_144	Contig1	374448	374692	-	RJF.Contig1.LOC48.MHCY17a	(0 u : 30 m)	(0 u : 162 m)	(6 u : 6411 m)	(8 u : 3909 m)	(1 u : 917 m)	(3 u : 1550 m)	(2 u : 1289 m)	(0 u : 86 m)	(0 u : 65 m)	(0 u : 45 m)	(0 u : 35 m)	(0 u : 9 m)	(0 u : 141 m)	(3 u : 1153 m)	(2 u : 2713 m)	(0 u : 225 m)	(0 u : 70 m)	(0 u : 502 m)	(1 u : 1168 m)	(0 u : 332 m)	(0 u : 510 m)	(7 u : 9141 m)	(9 u : 14861 m)	(0 u : 130 m)	(0 u : 170 m)	(11 u : 5503 m)	(0 u : 203 m)
Contig1_099	Contig1	285953	286035	-	RJF.Contig1.LOC33.MHCY10t	(No Support?)	(No Support?)	(0 u : 16 m)	(0 u : 5 m)	(0 u : 28 m)	(0 u : 5 m)	(0 u : 8 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 5 m)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 21 m)	(0 u : 5 m)	(0 u : 1 m)	(0 u : 6 m)	(0 u : 8 m)	(No Support?)	(0 u : 1 m)	(0 u : 33 m)	(0 u : 7 m)
Contig1_088	Contig1	270259	270481	+	RJF.Contig1.LOC31.YLEC13d	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 3 m)	(No Support?)	(0 u : 9 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 5 m)	(0 u : 2 m)	(No Support?)	(0 u : 3 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 4 m)	(No Support?)	(No Support?)	(0 u : 9 m)	(0 u : 2 m)
Contig1_158	Contig1	384740	384834	-	RJF.Contig1.LOC50.MHCY18i	(No Support?)	(0 u : 26 m)	(2 u : 1288 m)	(2 u : 871 m)	(2 u : 94 m)	(3 u : 172 m)	(1 u : 175 m)	(0 u : 10 m)	(1 u : 8 m)	(0 u : 4 m)	(0 u : 3 m)	(0 u : 1 m)	(0 u : 8 m)	(0 u : 45 m)	(1 u : 110 m)	(0 u : 18 m)	(0 u : 7 m)	(1 u : 22 m)	(2 u : 227 m)	(0 u : 41 m)	(0 u : 25 m)	(5 u : 335 m)	(6 u : 647 m)	(0 u : 4 m)	(0 u : 13 m)	(2 u : 385 m)	(1 u : 29 m)
Contig1_003	Contig1	128081	128163	+	RJF.Contig1.LOC06.MHCY2B1a	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(1 u : 0 m)	(No Support?)	(2 u : 0 m)	(1 u : 0 m)	(No Support?)	(No Support?)	(1 u : 0 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(3 u : 0 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)
Contig1_104	Contig1	298357	298436	-	RJF.Contig1.LOC34.MHCY11o	(No Support?)	(0 u : 7 m)	(0 u : 80 m)	(0 u : 36 m)	(0 u : 224 m)	(0 u : 14 m)	(0 u : 38 m)	(0 u : 31 m)	(0 u : 14 m)	(0 u : 7 m)	(0 u : 16 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 36 m)	(0 u : 44 m)	(0 u : 48 m)	(0 u : 15 m)	(0 u : 1 m)	(0 u : 424 m)	(0 u : 22 m)	(0 u : 9 m)	(0 u : 52 m)	(0 u : 51 m)	(0 u : 2 m)	(0 u : 6 m)	(0 u : 716 m)	(0 u : 60 m)
Contig1_053	Contig1	229041	229133	-	RJF.Contig1.LOC22.YLEC8a	(0 u : 54 m)	(0 u : 240 m)	(0 u : 11926 m)	(0 u : 5537 m)	(0 u : 492 m)	(0 u : 1197 m)	(0 u : 1675 m)	(0 u : 55 m)	(0 u : 39 m)	(0 u : 13 m)	(0 u : 22 m)	(0 u : 8 m)	(0 u : 100 m)	(0 u : 270 m)	(0 u : 329 m)	(0 u : 40 m)	(0 u : 27 m)	(0 u : 412 m)	(0 u : 1433 m)	(0 u : 379 m)	(0 u : 557 m)	(0 u : 909 m)	(0 u : 1437 m)	(0 u : 130 m)	(0 u : 198 m)	(0 u : 508 m)	(0 u : 243 m)
Contig1_138	Contig1	353646	353900	+	RJF.Contig1.LOC44.MHCY15m	(0 u : 613 m)	(2 u : 794 m)	(6 u : 693 m)	(3 u : 550 m)	(0 u : 129 m)	(6 u : 193 m)	(2 u : 152 m)	(0 u : 11 m)	(0 u : 3 m)	(0 u : 2 m)	(0 u : 3 m)	(0 u : 26 m)	(0 u : 217 m)	(0 u : 138 m)	(1 u : 296 m)	(0 u : 7 m)	(0 u : 6 m)	(2 u : 60 m)	(2 u : 52 m)	(0 u : 30 m)	(0 u : 130 m)	(4 u : 136 m)	(12 u : 475 m)	(1 u : 280 m)	(0 u : 296 m)	(4 u : 52 m)	(1 u : 10 m)
Contig1_094	Contig1	273856	274013	-	RJF.Contig1.LOC32.MHCY9i	(0 u : 5 m)	(0 u : 18 m)	(0 u : 336 m)	(1 u : 181 m)	(0 u : 149 m)	(3 u : 64 m)	(1 u : 140 m)	(1 u : 23 m)	(0 u : 14 m)	(0 u : 2 m)	(0 u : 6 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 37 m)	(0 u : 85 m)	(0 u : 31 m)	(0 u : 16 m)	(0 u : 22 m)	(0 u : 457 m)	(0 u : 28 m)	(0 u : 18 m)	(0 u : 115 m)	(0 u : 190 m)	(0 u : 25 m)	(0 u : 16 m)	(1 u : 369 m)	(0 u : 36 m)
